Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
4500,50000,5.9875915e-09,0,0.0018685353,-0.0054874632,0.0033106833,-0.00030824465,0,0,493500
4600,50000,5.889735e-09,0,0.0018341048,-0.0049723349,0.0032157136,7.7483454e-05,0,0,493500
4700,50000,5.8004405e-09,0,0.0017970529,-0.0046640129,0.0030715747,0.00020461466,0,0,493500
4800,50000,5.7133234e-09,0,0.0017544529,-0.0044403897,0.0029805258,0.00029458899,0,0,493500
4900,50000,5.6047876e-09,0,0.0017116051,-0.0039663888,0.0028535337,0.00059875009,0,0,493500
5000,50000,5.5087295e-09,0,0.001666163,-0.0035912515,0.0027052775,0.0007801891,0,0,493500
5100,50000,5.4100522e-09,0,0.0016160104,-0.0033185861,0.0025674092,0.00086483353,0,0,493500
5200,50000,5.308788e-09,0,0.0015642466,-0.0029696466,0.0023766517,0.0009712517,0,0,493500
5300,50000,5.2084966e-09,0,0.0015084909,-0.0028767946,0.0022520778,0.00088377415,0,0,493500
5400,50000,5.111029e-09,0,0.0014502028,-0.0026924249,0.0021128786,0.00087065651,0,0,493500
5500,50000,5.0042279e-09,0,0.0013898515,-0.0024601397,0.0019262764,0.00085598819,0,0,493500
5600,50000,4.8953457e-09,0,0.0013261145,-0.0023366141,0.001742404,0.00073190436,0,0,493500
5700,50000,4.8041391e-09,0,0.0012626898,-0.0021853646,0.0015660439,0.00064336912,0,0,493500
5800,50000,4.7026246e-09,0,0.0011993548,-0.0020424385,0.0014193935,0.00057630982,0,0,493500
5900,50000,4.5943801e-09,0,0.0011347717,-0.0019541044,0.0012603315,0.00044099886,0,0,493500
6000,50000,4.5068431e-09,0,0.0010704332,-0.0018966024,0.0011163893,0.00029022001,0,0,493500
6100,50000,4.4072381e-09,0,0.0010075135,-0.0018122451,0.00095490342,0.00015017176,0,0,493500
6200,50000,4.2998253e-09,0,0.00094627146,-0.0017838282,0.00080447798,-3.3078736e-05,0,0,493500
6300,50000,4.204313e-09,0,0.00088639244,-0.0017048112,0.00067661316,-0.00014180563,0,0,493500
6400,50000,4.1092652e-09,0,0.00082848682,-0.001594377,0.00054968556,-0.0002162046,0,0,493500
6500,50000,4.0075239e-09,0,0.0007737686,-0.0015453609,0.00046504406,-0.0003065482,0,0,493500
6600,50000,3.9129525e-09,0,0.00072091359,-0.0014979087,0.00036813146,-0.00040886361,0,0,493500
6700,50000,3.8240457e-09,0,0.00066971783,-0.0014342502,0.00028963418,-0.00047489816,0,0,493500
6800,50000,3.7234824e-09,0,0.00062160222,-0.001345418,0.00020517918,-0.00051863656,0,0,493500
6900,50000,3.6310567e-09,0,0.0005757255,-0.0012538533,0.00013554289,-0.00054258486,0,0,493500
7000,50000,3.5439111e-09,0,0.00053287357,-0.0011450359,8.3723993e-05,-0.00052843835,0,0,493500
7100,50000,3.444949e-09,0,0.00049222966,-0.0010833802,2.9753238e-05,-0.00056139732,0,0,493500
7200,50000,3.3589335e-09,0,0.00045285912,-0.0010298265,-5.6449813e-06,-0.00058261239,0,0,493500
7300,50000,3.2781338e-09,0,0.00041673605,-0.00093629977,-4.7107191e-05,-0.00056667091,0,0,493500
7400,50000,3.186652e-09,0,0.00038224813,-0.00086425121,-7.9639338e-05,-0.00056164242,0,0,493500
7500,50000,3.103227e-09,0,0.00034906238,-0.00078845637,-0.0001100653,-0.00054945929,0,0,493500
7600,50000,3.0252916e-09,0,0.00031908789,-0.00070784794,-0.00012328179,-0.00051204183,0,0,493500
7700,50000,2.9429948e-09,0,0.00029128458,-0.00065712345,-0.0001218602,-0.00048769907,0,0,493500
7800,50000,2.8604897e-09,0,0.00026511445,-0.00059161164,-0.00012752077,-0.00045401797,0,0,493500
7900,50000,2.7899848e-09,0,0.00024088083,-0.00052502926,-0.00012113325,-0.00040528167,0,0,493500
8000,50000,2.7174386e-09,0,0.00021828634,-0.00047225726,-0.00011878696,-0.00037275788,0,0,493500
8100,50000,2.6420764e-09,0,0.00019774489,-0.00041289131,-0.00011344488,-0.0003285913,0,0,493500
8200,50000,2.5762383e-09,0,0.00017896596,-0.00035354605,-0.00010508251,-0.00027966259,0,0,493500
8300,50000,2.5082628e-09,0,0.00016106702,-0.00031218818,-9.3436695e-05,-0.00024455786,0,0,493500
8400,50000,2.4381187e-09,0,0.00014464715,-0.00026761404,-8.0828522e-05,-0.00020379542,0,0,493500
8500,50000,2.3765391e-09,0,0.00012943209,-0.00022572996,-7.265807e-05,-0.00016895593,0,0,493500
8600,50000,2.3126803e-09,0,0.00011485219,-0.0001894374,-5.7866749e-05,-0.00013245195,0,0,493500
8700,50000,2.2500748e-09,0,0.00010116198,-0.00013883975,-5.2002288e-05,-8.9680055e-05,0,0,493500
8800,50000,2.1902429e-09,0,8.8454231e-05,-0.00010549108,-4.1388275e-05,-5.8425123e-05,0,0,493500
8900,50000,2.1330202e-09,0,7.6976746e-05,-7.3598739e-05,-3.0205337e-05,-2.6827331e-05,0,0,493500
9000,50000,2.0718569e-09,0,6.5999024e-05,-5.4010133e-05,-2.0805534e-05,-8.8166428e-06,0,0,493500
9100,50000,2.0141007e-09,0,5.5503139e-05,-4.2880696e-05,-8.4219897e-06,4.2004535e-06,0,0,493500
9200,50000,1.9626144e-09,0,4.5981836e-05,-3.8444245e-05,-2.7589214e-06,4.7786694e-06,0,0,493500
9300,50000,1.9074461e-09,0,3.7034818e-05,-4.0036627e-05,3.4085708e-06,4.067625e-07,0,0,493500
9400,50000,1.8539635e-09,0,2.8820834e-05,-3.3299034e-05,6.579138e-06,2.1009371e-06,0,0,493500
9500,50000,1.808567e-09,0,2.141094e-05,-3.4328857e-05,1.4265095e-05,1.3471778e-06,0,0,493500
9600,50000,1.7585678e-09,0,1.4715987e-05,-3.7603148e-05,1.7236227e-05,-5.650933e-06,0,0,493500
9700,50000,1.70955e-09,0,8.9659946e-06,-4.1929838e-05,1.675227e-05,-1.6211573e-05,0,0,493500
9800,50000,1.6648004e-09,0,4.0518527e-06,-4.4711113e-05,1.2905933e-05,-2.7753327e-05,0,0,493500
9900,50000,1.6216985e-09,0,2.9230048e-07,-4.5978857e-05,6.8130467e-06,-3.887351e-05,0,0,493500
10000,50000,1.5760636e-09,0,-9.9185366e-07,-4.5451988e-05,2.4895059e-06,-4.3954336e-05,0,0,493500
10001,50000,1.5756264e-09,0,-9.6864412e-07,-4.5409413e-05,2.4708422e-06,-4.3907215e-05,0,0,493500
10001,50000,1.5756264e-09,0,-1.9370456e-06,-9.0806764e-05,4.5172628e-06,-8.8226547e-05,0,0,0
10100,50000,1.5376568e-09,0,0.0027097285,-4.2152784e-05,-1.7564152e-06,0.0026658193,0,0,493500
10200,50000,1.5156775e-09,0,0.0064983014,-4.4852211e-05,-3.1402276e-06,0.006450309,0,0,493500
10300,50000,1.5417785e-09,0,0.011015552,-4.3928281e-05,-4.939252e-06,0.010966685,0,0,493500
10400,50000,1.7014919e-09,0,0.015784323,-4.8313498e-05,-6.5151206e-06,0.015729494,0,0,493500
10500,50000,2.106811e-09,0,0.020375105,-4.8593678e-05,-6.366495e-06,0.020320145,0,0,493500
10600,50000,2.87749e-09,0,0.024449078,-4.3782199e-05,-9.8204734e-06,0.024395475,0,0,493500
10700,50000,4.1133869e-09,0,0.027653723,-4.3456054e-05,-8.0786657e-06,0.027602189,0,0,493500
10800,50000,5.8133838e-09,0,0.029735205,-3.8387529e-05,-9.2309816e-06,0.029687586,0,0,493500
10900,50000,7.8900861e-09,0,0.030645344,-3.9628234e-05,-7.4034938e-06,0.030598312,0,0,493500
11000,50000,1.0214857e-08,0,0.030456147,-3.9475275e-05,-7.1682182e-06,0.030409503,0,0,493500
11001,50000,1.0238924e-08,0,0.030449326,-3.9447515e-05,-7.180535e-06,0.030402698,0,0,493500
11001,50000,1.0238924e-08,1e-06,0.059889133,-7.8886576e-05,-1.4360819e-05,0.059795885,0,0,0
11001,50000,1.0238924e-08,1e-06,0.089328939,-0.00011832564,-2.1541103e-05,0.089189073,0,0,0
11100,50000,1.2667072e-08,1e-06,0.029384938,-3.8130279e-05,-7.7638353e-06,0.029339044,0,0,493500
11200,50000,1.5153598e-08,1e-06,0.027709605,-3.6149488e-05,-6.3630347e-06,0.027667093,0,0,493500
11300,50000,1.758478e-08,1e-06,0.025604063,-3.0552216e-05,-6.2550156e-06,0.025567256,0,0,493500
11400,50000,1.9818911e-08,1e-06,0.023186888,-2.6921767e-05,-3.1296263e-06,0.023156837,0,0,493500
11500,50000,2.1660796e-08,1e-06,0.020610381,-2.4649483e-05,-3.3833414e-06,0.020582348,0,0,493500
11600,50000,2.2963013e-08,1e-06,0.017976037,-2.4996159e-05,-1.2554806e-07,0.017950915,0,0,493500
11700,50000,2.3726475e-08,1e-06,0.015305238,-2.2664248e-05,-5.3014356e-07,0.015282043,0,0,493500
11800,50000,2.3980316e-08,1e-06,0.012733041,-2.100336e-05,-8.2883519e-08,0.012711955,0,0,493500
11900,50000,2.3893435e-08,1e-06,0.010380063,-1.6414988e-05,2.5373712e-06,0.010366186,0,0,493500
12000,50000,2.3640305e-08,1e-06,0.0082693959,-1.3185382e-05,2.4321067e-06,0.0082586426,0,0,493500
12001,50000,2.3637481e-08,1e-06,0.0082498078,-1.3181485e-05,2.4400827e-06,0.0082390664,0,0,493500
12001,50000,2.3637481e-08,2e-06,0.015683415,-2.6372756e-05,5.2588386e-06,0.015662301,0,0,0
12001,50000,2.3637481e-08,2e-06,0.023117022,-3.9564027e-05,8.0775945e-06,0.023085536,0,0,0
12100,50000,2.3378413e-08,2e-06,0.006497194,-1.2236374e-05,5.2357889e-06,0.0064901934,0,0,493500
12200,50000,2.3228669e-08,2e-06,0.0050758113,-9.8282753e-06,5.5589284e-06,0.005071542,0,0,493500
12300,50000,2.3168349e-08,2e-06,0.0039708374,-1.1253245e-05,-0.00017135158,0.0037882326,0,0,493500
12400,50000,2.2995903e-08,2e-06,0.0031997453,-9.3094495e-06,-0.00050274621,0.0026876897,0,0,493500
12500,50000,2.2501134e-08,2e-06,0.002728494,-7.159339e-06,-0.00097848157,0.0017428531,0,0,493500
12600,50000,2.1619739e-08,2e-06,0.0025088891,-5.6244008e-06,-0.0015722897,0.000930975,0,0,493500
12700,50000,2.0445104e-08,2e-06,0.0025704552,-3.5671963e-06,-0.0022436378,0.00032325014,0,0,493500
12800,50000,1.9138394e-08,2e-06,0.0028683599,-5.1887958e-06,-0.002946159,-8.2987868e-05,0,0,493500
12900,50000,1.7859744e-08,2e-06,0.0033485381,-8.5370637e-06,-0.0036338147,-0.00029381364,0,0,493500
13000,50000,1.6716891e-08,2e-06,0.0040369417,-1.3160465e-05,-0.0042625031,-0.00023872185,0,0,493500
13001,50000,1.670636e-08,2e-06,0.004044846,-1.3198965e-05,-0.0042683648,-0.00023671775,0,0,493500
13001,50000,1.670636e-08,3e-06,0.0073735519,-2.639323e-05,-0.0085362104,-0.0011890517,0,0,0
13001,50000,1.670636e-08,3e-06,0.010702258,-3.9587496e-05,-0.012804056,-0.0021413857,0,0,0
13100,50000,1.5768526e-08,3e-06,0.0049023518,-1.731134e-05,-0.0047807339,0.00010430663,0,0,493500
13200,50000,1.5047909e-08,3e-06,0.0058823693,-2.5956409e-05,-0.0051178012,0.00073861166,0,0,493500
13300,50000,1.4515064e-08,3e-06,0.0069694001,-4.3767769e-05,-0.005276131,0.0016495013,0,0,493500
13400,50000,1.414954e-08,3e-06,0.0081263005,-7.7519375e-05,-0.0052678478,0.0027809333,0,0,493500
13500,50000,1.3961868e-08,3e-06,0.0092622525,-0.00013903652,-0.005093711,0.0040295049,0,0,493500
13600,50000,1.3929505e-08,3e-06,0.01034127,-0.00023535963,-0.0047760139,0.0053298965,0,0,493500
13700,50000,1.3935446e-08,3e-06,0.011321304,-0.00036712721,-0.0043479258,0.0066062508,0,0,493500
13800,50000,1.3864849e-08,3e-06,0.012173563,-0.00053894637,-0.0038778112,0.0077568059,0,0,493500
13900,50000,1.3738549e-08,3e-06,0.012982544,-0.00075461213,-0.003429294,0.0087986376,0,0,493500
14000,50000,1.3670424e-08,3e-06,0.013784345,-0.0010119941,-0.003042007,0.0097303441,0,0,493500
14001,50000,1.3670568e-08,3e-06,0.013792255,-0.0010147944,-0.0030384392,0.0097390217,0,0,493500
14001,50000,1.3670568e-08,4e-06,0.02670192,-0.0020296157,-0.0066764868,0.017995817,0,0,0
14001,50000,1.3670568e-08,4e-06,0.039611584,-0.003044437,-0.010314534,0.026252613,0,0,0
14100,50000,1.3821816e-08,4e-06,0.014566902,-0.0013154322,-0.0027211611,0.010530308,0,0,493500
14200,50000,1.4326418e-08,4e-06,0.015329652,-0.0016525587,-0.0024956295,0.011181464,0,0,493500
14300,50000,1.5152025e-08,4e-06,0.016016471,-0.0020590166,-0.0023904963,0.011566958,0,0,493500
14400,50000,1.610539e-08,4e-06,0.016483529,-0.0026884194,-0.0023794534,0.011415656,0,0,493500
14500,50000,1.6997232e-08,4e-06,0.016710979,-0.0034297634,-0.0024384119,0.010842803,0,0,493500
14600,50000,1.7763374e-08,4e-06,0.016710408,-0.0042042779,-0.0025165744,0.0099895555,0,0,493500
14700,50000,1.8409931e-08,4e-06,0.016443996,-0.0049829212,-0.0025848945,0.0088761805,0,0,493500
14800,50000,1.8993484e-08,4e-06,0.015896324,-0.005762182,-0.0026115837,0.0075225588,0,0,493500
14900,50000,1.9576007e-08,4e-06,0.015033691,-0.0064919599,-0.002570108,0.0059716231,0,0,493500
15000,50000,2.0154435e-08,4e-06,0.013870967,-0.0071369436,-0.0024589292,0.0042750943,0,0,493500
15001,50000,2.0160017e-08,4e-06,0.013858351,-0.0071427876,-0.0024574321,0.0042581311,0,0,493500
15001,50000,2.0160017e-08,5e-06,0.026830158,-0.014285399,-0.0049147835,0.0076299754,0,0,0
15001,50000,2.0160017e-08,5e-06,0.039801965,-0.021428011,-0.0073721348,0.01100182,0,0,0
15100,50000,2.0673397e-08,5e-06,0.012558018,-0.007652888,-0.0022747814,0.0026303483,0,0,493500
15200,50000,2.1068831e-08,5e-06,0.011188042,-0.0080326605,-0.0020454382,0.0011099432,0,0,493500
15300,50000,2.1276128e-08,5e-06,0.0098389292,-0.0082910829,-0.0017860963,-0.00023824995,0,0,493500
15400,50000,2.129483e-08,5e-06,0.0086051089,-0.0084019412,-0.0015295486,-0.0013263809,0,0,493500
15500,50000,2.1182711e-08,5e-06,0.0075298884,-0.0083654447,-0.0012896208,-0.0021251771,0,0,493500
15600,50000,2.1015279e-08,5e-06,0.0066397347,-0.0081977727,-0.0010655838,-0.0026236218,0,0,493500
15700,50000,2.0863661e-08,5e-06,0.005967436,-0.0078997639,-0.00088355202,-0.0028158799,0,0,493500
15800,50000,2.0757317e-08,5e-06,0.0055272469,-0.0075164449,-0.00073371576,-0.0027229138,0,0,493500
15900,50000,2.0679826e-08,5e-06,0.0052938001,-0.0070943343,-0.00062800616,-0.0024285405,0,0,493500
16000,50000,2.0597628e-08,5e-06,0.0052242724,-0.006674874,-0.00056214067,-0.0020127423,0,0,493500
16001,50000,2.0596699e-08,5e-06,0.0052241633,-0.0066708043,-0.00056168385,-0.0020083249,0,0,493500
16001,50000,2.0596699e-08,6e-06,0.0096965247,-0.013341598,-0.0017249046,-0.0053699779,0,0,0
16001,50000,2.0596699e-08,6e-06,0.014168886,-0.020012392,-0.0028881253,-0.0087316308,0,0,0
16100,50000,2.0491034e-08,6e-06,0.0052535841,-0.0062827397,-0.00056795967,-0.0015971153,0,0,493500
16200,50000,2.0347966e-08,6e-06,0.005333318,-0.0059273385,-0.00059844912,-0.0011924695,0,0,493500
16300,50000,2.015473e-08,6e-06,0.005453616,-0.0056298092,-0.00066249149,-0.00083868466,0,0,493500
16400,50000,1.9912415e-08,6e-06,0.0056050208,-0.0053904495,-0.0007398564,-0.00052528512,0,0,493500
16500,50000,1.9622147e-08,6e-06,0.005782963,-0.005222633,-0.00080502616,-0.00024469618,0,0,493500
16600,50000,1.9288376e-08,6e-06,0.0059886383,-0.0051252743,-0.00086673317,-3.3692299e-06,0,0,493500
16700,50000,1.8937104e-08,6e-06,0.0062032551,-0.0050740659,-0.00091625178,0.00021293741,0,0,493500
16800,50000,1.8621594e-08,6e-06,0.0063810065,-0.0050623908,-0.00095397714,0.00036463855,0,0,493500
16900,50000,1.8385336e-08,6e-06,0.0065265308,-0.0050733668,-0.0009704734,0.00048269054,0,0,493500
17000,50000,1.8249797e-08,6e-06,0.0066777483,-0.0050916118,-0.00095303399,0.00063310254,0,0,493500
17001,50000,1.8248978e-08,6e-06,0.0066793286,-0.0050918626,-0.00095272779,0.00063473818,0,0,493500
17001,50000,1.8248978e-08,7e-06,0.012575975,-0.010183745,-0.0019054332,0.00048679679,0,0,0
17001,50000,1.8248978e-08,7e-06,0.018472621,-0.015275627,-0.0028581387,0.0003388554,0,0,0
17100,50000,1.8218841e-08,7e-06,0.006848695,-0.0051373252,-0.00090560462,0.00080576512,0,0,493500
17200,50000,1.8273635e-08,7e-06,0.0070461701,-0.0052063232,-0.00082510151,0.0010147454,0,0,493500
17300,50000,1.8381363e-08,7e-06,0.007246205,-0.0052730673,-0.0007336058,0.0012395319,0,0,493500
17400,50000,1.8515803e-08,7e-06,0.007418877,-0.0053522041,-0.00063265224,0.0014340207,0,0,493500
17500,50000,1.8663098e-08,7e-06,0.0075571434,-0.0054348485,-0.00053065703,0.0015916379,0,0,493500
17600,50000,1.8819743e-08,7e-06,0.0076549237,-0.0055212575,-0.00043625867,0.0016974075,0,0,493500
17700,50000,1.8979256e-08,7e-06,0.0077095416,-0.0056329777,-0.00035835177,0.0017182121,0,0,493500
17800,50000,1.9134981e-08,7e-06,0.007727163,-0.0057606188,-0.00031426309,0.001652281,0,0,493500
17900,50000,1.9282461e-08,7e-06,0.0076826326,-0.005920431,-0.00028415868,0.0014780429,0,0,493500
18000,50000,1.9414273e-08,7e-06,0.0075350825,-0.0061266375,-0.00026049698,0.001147948,0,0,493500
18001,50000,1.9415492e-08,7e-06,0.0075331008,-0.0061286942,-0.00026038504,0.0011440215,0,0,493500
18001,50000,1.9415492e-08,8e-06,0.014266542,-0.012257372,-0.0011006379,0.0009085318,0,0,0
18001,50000,1.9415492e-08,8e-06,0.020999983,-0.01838605,-0.0019408908,0.00067304207,0,0,0
18100,50000,1.9522954e-08,8e-06,0.0072948257,-0.0063348847,-0.0002423335,0.00071760753,0,0,493500
18200,50000,1.9600636e-08,8e-06,0.00698893,-0.0065550982,-0.00022350369,0.00021032816,0,0,493500
18300,50000,1.9638827e-08,8e-06,0.0066569038,-0.0067668573,-0.00020487259,-0.00031482613,0,0,493500
18400,50000,1.9631907e-08,8e-06,0.0063399209,-0.0069663059,-0.00018976125,-0.00081614624,0,0,493500
18500,50000,1.9570413e-08,8e-06,0.0060645619,-0.0071451957,-0.00021643761,-0.0012970714,0,0,493500
18600,50000,1.945594e-08,8e-06,0.0058443639,-0.0073101342,-0.00025488768,-0.001720658,0,0,493500
18700,50000,1.930701e-08,8e-06,0.0056869934,-0.0074476141,-0.0003009332,-0.0020615539,0,0,493500
18800,50000,1.9146276e-08,8e-06,0.0056094524,-0.0075410794,-0.00038874327,-0.0023203703,0,0,493500
18900,50000,1.8993069e-08,8e-06,0.0056429671,-0.0075893063,-0.0005050811,-0.0024514203,0,0,493500
19000,50000,1.8860657e-08,8e-06,0.0058034105,-0.007607911,-0.00064038131,-0.0024448817,0,0,493500
19001,50000,1.8859445e-08,8e-06,0.005805598,-0.0076080405,-0.00064180776,-0.0024442503,0,0,493500
19001,50000,1.8859445e-08,9e-06,0.010846927,-0.015216063,-0.0012834052,-0.0056525408,0,0,0
19001,50000,1.8859445e-08,9e-06,0.015888256,-0.022824085,-0.0019250027,-0.0088608313,0,0,0
19100,50000,1.8747432e-08,9e-06,0.0060663951,-0.007609511,-0.00077755038,-0.0023206663,0,0,493500
19200,50000,1.8646877e-08,9e-06,0.0063925442,-0.0075832389,-0.00091672968,-0.0021074244,0,0,493500
19300,50000,1.8559162e-08,9e-06,0.0067415538,-0.0075320695,-0.0010627074,-0.0018532231,0,0,493500
19400,50000,1.8487667e-08,9e-06,0.0070969709,-0.0074314198,-0.0011903877,-0.0015248366,0,0,493500
19500,50000,1.8438047e-08,9e-06,0.0074502925,-0.0073023127,-0.0012732874,-0.0011253076,0,0,493500
19600,50000,1.8421831e-08,9e-06,0.0077971945,-0.0071464463,-0.0013003999,-0.00064965164,0,0,493500
19700,50000,1.8437093e-08,9e-06,0.008117071,-0.0069553036,-0.0012870752,-0.00012530782,0,0,493500
19800,50000,1.8474717e-08,9e-06,0.0083811426,-0.0067568893,-0.0012877046,0.00033654875,0,0,493500
19900,50000,1.8527553e-08,9e-06,0.008575061,-0.0065476493,-0.0012695738,0.00075783796,0,0,493500
20000,50000,1.8590973e-08,9e-06,0.0087008046,-0.0063363836,-0.0012853127,0.0010791084,0,0,493500
20001,50000,1.859165e-08,9e-06,0.0087017196,-0.0063342724,-0.0012855682,0.001081879,0,0,493500
20001,50000,1.859165e-08,1e-05,0.016585145,-0.012668538,-0.0030540224,0.0008625851,0,0,0
20001,50000,1.859165e-08,1e-05,0.024468571,-0.019002803,-0.0048224767,0.0006432912,0,0,0
20100,50000,1.8663016e-08,1e-05,0.0087780755,-0.0061606905,-0.001324134,0.001293251,0,0,493500
20200,50000,1.8750091e-08,1e-05,0.0088318158,-0.0060050287,-0.0013923102,0.001434477,0,0,493500
20300,50000,1.8855852e-08,1e-05,0.0088554342,-0.0058606863,-0.0014953512,0.0014993966,0,0,493500
20400,50000,1.897435e-08,1e-05,0.0088388686,-0.0057347269,-0.0016288636,0.0014752781,0,0,493500
20500,50000,1.9096436e-08,1e-05,0.0087794886,-0.005633953,-0.0017819886,0.001363547,0,0,493500
20600,50000,1.9208766e-08,1e-05,0.0086651338,-0.0055419838,-0.001949824,0.0011733261,0,0,493500
20700,50000,1.9297541e-08,1e-05,0.0085149155,-0.0054587096,-0.0021174174,0.00093878853,0,0,493500
20800,50000,1.9358512e-08,1e-05,0.0083512585,-0.0053575951,-0.0022782677,0.00071539573,0,0,493500
20900,50000,1.9393519e-08,1e-05,0.0081766066,-0.0052460124,-0.002405389,0.00052520523,0,0,493500
21000,50000,1.9403502e-08,1e-05,0.0079898103,-0.0051299667,-0.0024730192,0.00038682448,0,0,493500
21001,50000,1.9403479e-08,1e-05,0.0079878986,-0.0051287598,-0.0024734661,0.00038567268,0,0,493500
21001,50000,1.9403479e-08,1.1e-05,0.015168385,-0.0102575,-0.0049335075,-2.2622868e-05,0,0,0
21001,50000,1.9403479e-08,1.1e-05,0.022348871,-0.015386241,-0.0073935489,-0.00043091842,0,0,0
21100,50000,1.9388718e-08,1.1e-05,0.0077911261,-0.0050091127,-0.0024931893,0.00028882409,0,0,493500
21200,50000,1.935025e-08,1.1e-05,0.0075889916,-0.0048800252,-0.0024706984,0.00023826796,0,0,493500
